id,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,名称,概要,郵便番号,住所,電話番号,Fax番号,E-mail,営業時間,定休日,料金,備考1,備考2,備考3,リンク
45,37.443492,137.270703,消防・防災,緊急一時避難場所,,,珠洲市総合病院（3階）,,927-1213 ,珠洲市野々江町ユ部１番地１,,,,,,,標高:13.70m,想定津波高:6.4m,想定津波到達時間:19分,
46,37.44656,137.272807,消防・防災,緊急一時避難場所,,,緑丘中学校,,927-1213,珠洲市野々江町６の部１番地,,,,,,,標高:13.30m,想定津波高:6.4m,想定津波到達時間:19分,
47,37.443949,137.281698,消防・防災,緊急一時避難場所,,,直小学校（3階）,,927-1213,珠洲市野々江町ニ部３８番地の２,,,,,,,標高:11.80m,想定津波高:6.4m,想定津波到達時間:19分,
48,37.452006,137.283606,消防・防災,緊急一時避難場所,,,上水道正院配水池,,,珠洲市熊谷町,,,,,,,標高:50.10m,想定津波高:5.5m,想定津波到達時間:18分,
49,37.448066,137.294474,消防・防災,緊急一時避難場所,,,観寿山,,,珠洲市正院町小路,,,,,,,標高:19.10m,想定津波高:5.8m,想定津波到達時間:19分,
50,37.44641,137.296287,消防・防災,緊急一時避難場所,,,殿山,,,珠洲市正院町川尻,,,,,,,標高:32.20m,想定津波高:7.9m,想定津波到達時間:16分,
51,37.444727,137.299222,消防・防災,緊急一時避難場所,,,黒瀧城跡地,,,珠洲市正院町川尻,,,,,,,標高:33.60m,想定津波高:7.9m,想定津波到達時間:16分,
52,37.450072,137.298616,消防・防災,緊急一時避難場所,,,のとスターラインA,,,珠洲市蛸島町,,,,,,,標高:18.90m,想定津波高:7.9m,想定津波到達時間:16分,
53,37.449259,137.304275,消防・防災,緊急一時避難場所,,,のとスターラインB,,,珠洲市蛸島町,,,,,,,標高:30.90m,想定津波高:9.4m,想定津波到達時間:15分,
54,37.448203,137.31024,消防・防災,緊急一時避難場所,,,のとスターラインC,,,珠洲市蛸島町,,,,,,,標高:30.30m,想定津波高:9.4m,想定津波到達時間:15分,
55,37.45011,137.319038,消防・防災,緊急一時避難場所,,,のとスターラインD,,,珠洲市蛸島町,,,,,,,標高:23.50m,想定津波高:9.4m,想定津波到達時間:15分,
56,37.449293,137.325475,消防・防災,緊急一時避難場所,,,のとスターラインE,,,珠洲市蛸島町,,,,,,,標高:22.70m,想定津波高:9.4m,想定津波到達時間:15分,
57,37.441686,137.308568,消防・防災,緊急一時避難場所,,,弁天近隣公園,,,珠洲市蛸島町,,,,,,,標高:19.70m,想定津波高:9.4m,想定津波到達時間:15分,
