全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,
170003,LL0000000052,石川県,県民の森,ケンミンノモリ,kenminnomori,172065,,石川県加賀市山中温泉上新保町イ68,石川県,加賀市,上新保町,イ68,,便所（第２テント）,36.2263676,136.4588401,,,2,1,0,1,2,0,2,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。冬期間は利用不可。,,,,,
170003,LL0000000053,石川県,県民の森,ケンミンノモリ,kenminnomori,172065,,石川県加賀市山中温泉上新保町イ68,石川県,加賀市,上新保町,イ68,,身障者便所,36.2243206,136.4558293,,,0,0,0,0,0,0,0,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。冬期間は利用不可。,,,,,
170003,LL0000000054,石川県,県民の森,ケンミンノモリ,kenminnomori,172065,,石川県加賀市山中温泉上新保町イ68,石川県,加賀市,上新保町,イ68,,便所（雨天休憩舎）,36.2251694,136.4564371,,,2,0,0,2,3,0,3,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。冬期間は利用不可。,,,,,
170003,LL0000000055,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,炊飯広場(上),36.69453566,136.7603604,,,5,3,0,1,4,1,3,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000056,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,緑化の広場ﾄｲﾚ,36.68942977,136.760178,,,3,2,0,1,2,0,2,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000057,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,見晴台トイレ,36.6970346,136.762309,,,2,1,0,1,1,0,1,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000058,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,松葉台,36.69226982,136.7529998,,,5,3,0,2,4,1,3,0,0,0,0,無,有,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000059,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,こどもの広場ﾄｲﾚ,36.69301661,136.7584192,,,5,3,0,2,3,0,3,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000060,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,炊飯広場バイオトイレ,36.69392851,136.7597858,,,2,1,0,1,1,0,1,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000061,石川県,森林公園,シンリンコウエン,Ishikawa Forest Rark,173614,,石川県津幡町御門8号4番1,石川県,津幡町,御門,8号4番1,,デイキャンプ場バイオトイレ,36.69104502,136.7461916,,,2,1,0,1,2,0,2,1,0,1,1,有,有,無,0:00,23:59,24時間利用可。3/20～12/20,,,,,
170003,LL0000000062,石川県,健康の森,ケンコウノモリ,kenkounomori,172049,,石川県輪島市三井町中大谷内19,石川県,輪島市,三井町中,大谷内19,,テントサイトの出入り口,37.306683,136.927992,,,4,2,0,2,3,0,3,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。4月～11月,,,,,
170003,LL0000000063,石川県,健康の森,ケンコウノモリ,kenkounomori,172049,,石川県輪島市三井町中大谷内19,石川県,輪島市,三井町中,大谷内19,,バンガロー駐車場斜め向かい,37.305675,136.926041,,,3,2,0,1,2,0,2,1,0,1,1,有,無,無,0:00,23:59,24時間利用可。4月～11月,,,,,
170003,LL0000000064,石川県,いしかわ動物園,イシカワドウブツエン,ISHIKAWA ZOO,172111,,石川県能美市徳山町600番地,石川県,能美市,徳山町,600番地,,入場口横,36.4337896,136.5455774,,,5,3,0,1,2,0,1,0,0,0,2,有,無,無,9:00,17:00,11月1日～3月31日について16：30まで利用可。また、休園日（火曜日(火曜日が祝日の場合はその翌平日))、年末年始(12月31日～1月1日)）は利用不可。,,,,,
170003,LL0000000065,石川県,いしかわ動物園,イシカワドウブツエン,ISHIKAWA ZOO,172111,,石川県能美市徳山町600番地,石川県,能美市,徳山町,600番地,,駐車場,36.43454195,136.5452297,,,10,6,0,3,7,0,6,0,0,0,2,有,無,無,9:00,17:00,11月1日～3月31日について16：30まで利用可。また、休園日（火曜日(火曜日が祝日の場合はその翌平日)、年末年始(12月31日～1月1日)）は利用不可。,,,,,
